value	old_description_da	new_description_da	description_en	translation_source
60595510	Teknisk videnskab, BACH (compound: 60595510)	Miljøteknologi mv., BACH	Environmental technology etc., BACH	fable-5
30653520	Transport og logistikområdet (TBT) (compound: 30653520)	Postoperatører	Postal operators	fable-5
70257530	Humanistisk og teologisk, LVU (compound: 70257530)	Sprog - international politik og historie, LVU	Language - international politics and history, LVU	fable-5
70592010	Teknisk videnskab, LVU (compound: 70592010)	Nanoteknologi og nanobioteknologi, LVU	Nanotechnology and nanobiotechnology, LVU	fable-5
60259525	Humanistisk og teologisk, BACH (compound: 60259525)	Humanistiske uddannelser i øvrigt, BACH	Other humanities programmes, BACH	fable-5
70394515	Samfundsvidenskab, LVU (compound: 70394515)	Kultursociologi, LVU	Cultural sociology, LVU	fable-5
60395510	Samfundsvidenskab, BACH (compound: 60395510)	Erhvervsøkonomi uden nærmere angivelse, BACH	Business economics, not further specified, BACH	fable-5
70909520	Sundhedsvidenskab, LVU (compound: 70909520)	Optometri og synsvidenskab, LVU	Optometry and vision science, LVU	fable-5
30555510	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30555510)	Maritime håndværksfag	Maritime Trades	reused-master
70257025	Humanistisk og teologisk, LVU (compound: 70257025)	Klassisk filologi, LVU	Classical philology, LVU	fable-5
60599515	Teknisk videnskab, BACH (compound: 60599515)	Teknologi og forretningsudvikling, BACH	Technology and business development, BACH	fable-5
60903510	Sundhedsvidenskab, BACH (compound: 60903510)	It og sundhedsvidenskab, BACH	IT and health science, BACH	fable-5
40894525	Sundhedsfaglig, KVU (compound: 40894525)	Psykomotorik og afspænding mv., KVU	Psychomotor therapy and relaxation etc., KVU	fable-5
70594015	Teknisk videnskab, LVU (compound: 70594015)	Energiteknologi i øvrigt, LVU	Other energy technology, LVU	fable-5
70805090	Jordbrug, natur og miljø, LVU (compound: 70805090)	Naturressourcer og miljø i øvrigt, LVU	Other natural resources and environment, LVU	fable-5
70251220	Humanistisk og teologisk, LVU (compound: 70251220)	Arkæologi, middelalder, LVU	Archaeology, medieval, LVU	fable-5
70805015	Jordbrug, natur og miljø, LVU (compound: 70805015)	Klimaforandringer, vand og miljø, LVU	Climate change, water and environment, LVU	fable-5
40309010	Kunstnerisk, KVU (compound: 40309010)	Kunstnerisk i øvrigt, KVU	Other artistic, KVU	fable-5
60254010	Humanistisk og teologisk, BACH (compound: 60254010)	Oplevelses-design, BACH	Experience design, BACH	fable-5
30551010	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30551010)	Maskinteknik og produktion uden nærmere angivelse	Mechanical engineering and production, not further specified	fable-5
40894010	Sundhedsfaglig, KVU (compound: 40894010)	Tandplejer og klinisk tandteknik, KVU	Dental hygienist and clinical dental technology, KVU	fable-5
70599525	Teknisk videnskab, LVU (compound: 70599525)	Teknologi, transportteknik og logistik, LVU	Technology, transport engineering and logistics, LVU	fable-5
30556515	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30556515)	Urmager	Watchmaker	reused-master
70805020	Jordbrug, natur og miljø, LVU (compound: 70805020)	Naturvidenskabelig miljøplanlægning, LVU	Scientific environmental planning, LVU	fable-5
70394010	Samfundsvidenskab, LVU (compound: 70394010)	Psykologi, LVU	Psychology, LVU	fable-5
70256520	Humanistisk og teologisk, LVU (compound: 70256520)	Tysk, LVU	German, LVU	fable-5
70251510	Humanistisk og teologisk, LVU (compound: 70251510)	Oldtidskundskab, LVU	Classical studies, LVU	fable-5
70255710	Humanistisk og teologisk, LVU (compound: 70255710)	Fransk, LVU	French, LVU	fable-5
50259010	Humanistisk og teologisk, MVU (compound: 50259010)	Erhvervssproglig grundstudium, MVU	Business language basic studies, MVU	fable-5
40259015	Humanistisk og teologisk, KVU (compound: 40259015)	Erhvervssprog, begynderprøve, KVU	Business language, beginner examination, KVU	fable-5
70952525	Politi og forsvar mv., LVU (compound: 70952525)	Officer i søværnet, LVU	Officer in the navy, LVU	fable-5
70258710	Humanistisk og teologisk, LVU (compound: 70258710)	Erhvervssprog, interpret., LVU	Business language, interpreter, LVU	fable-5
30559010	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30559010)	Modelsnedker	Pattern maker	reused-master
80306540	Kunstnerisk, Ph.d. (compound: 80306540)	Musik og musikpædagogik, Ph.d.	Music and music pedagogy, Ph.d.	fable-5
70255715	Humanistisk og teologisk, LVU (compound: 70255715)	Italiensk, LVU	Italian, LVU	fable-5
70252510	Humanistisk og teologisk, LVU (compound: 70252510)	Idehistorie, LVU	History of ideas, LVU	fable-5
70803510	Jordbrug, natur og miljø, LVU (compound: 70803510)	Skovbrugsvidenskab, LVU	Forestry science, LVU	fable-5
50892510	Sundhedsfaglig, MVU (compound: 50892510)	Omsorgsarbejde, videreuddannelse, MVU	Care work, further education, MVU	fable-5
70394510	Samfundsvidenskab, LVU (compound: 70394510)	Sociologi, LVU	Sociology, LVU	fable-5
70256015	Humanistisk og teologisk, LVU (compound: 70256015)	Græsk, LVU	Greek, LVU	fable-5
50597010	Teknisk videnskab, MVU (compound: 50597010)	Teknologi, produktion og produktudvikling, MVU	Technology, production and product development, MVU	fable-5
50306555	Kunstnerisk, MVU (compound: 50306555)	Musikuddannelser i øvrigt, MVU	Other music programmes, MVU	fable-5
50306540	Kunstnerisk, MVU (compound: 50306540)	Musik og musikpædagogik, MVU	Music and music pedagogy, MVU	fable-5
60252210	Humanistisk og teologisk, BACH (compound: 60252210)	Historie, BACH	History, BACH	fable-5
70257515	Humanistisk og teologisk, LVU (compound: 70257515)	Indianske sprog og kulturer, LVU	Native American languages and cultures, LVU	fable-5
30558510	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30558510)	Skomager og ortopædiskomager	Shoemaker and orthopaedic shoemaker	fable-5
70354010	Naturvidenskab, LVU (compound: 70354010)	Geologi, LVU	Geology, LVU	fable-5
10301010	Grundskole 10. klasse (compound: 10301010)	10. klasse	10th grade [completed qualification]	reused-master
70255525	Humanistisk og teologisk, LVU (compound: 70255525)	Persisk, LVU	Persian, LVU	fable-5
30203515	Fødevarer mv. (FJO) (compound: 30203515)	Gastronomuddannelser i øvrigt	Other gastronome programmes	fable-5
70802015	Jordbrug, natur og miljø, LVU (compound: 70802015)	Jordbrugsøkonomi, LVU	Agricultural economics, LVU	fable-5
50804510	Jordbrug, natur og miljø, MVU (compound: 50804510)	Landskabsarkitektur og -forvaltning, MVU	Landscape architecture and management, MVU	fable-5
50303010	Kunstnerisk, MVU (compound: 50303010)	Film og tv uddannelser uden nærmere angivelse, MVU	Film and TV programmes, not further specified, MVU	fable-5
30205010	Fødevarer mv. (FJO) (compound: 30205010)	Fødevareuddannelser i øvrigt	Other food programmes	fable-5
50594015	Teknisk videnskab, MVU (compound: 50594015)	Energiteknologi i øvrigt, MVU	Other energy technology, MVU	fable-5
70952515	Politi og forsvar mv., LVU (compound: 70952515)	Officer i flyvevåbnet, LVU	Officer in the air force, LVU	fable-5
60257010	Humanistisk og teologisk, BACH (compound: 60257010)	Klassisk Indisk - sanskrit, BACH	Classical Indian - Sanskrit, BACH	fable-5
60255720	Humanistisk og teologisk, BACH (compound: 60255720)	Portugisisk og brasilliansk, BACH	Portuguese and Brazilian, BACH	fable-5
60803510	Jordbrug, natur og miljø, BACH (compound: 60803510)	Skovbrugsvidenskab, BACH	Forestry science, BACH	fable-5
70255720	Humanistisk og teologisk, LVU (compound: 70255720)	Portugisisk og brasilliansk, LVU	Portuguese and Brazilian, LVU	fable-5
60353020	Naturvidenskab, BACH (compound: 60353020)	Geofysik, BACH	Geophysics, BACH	fable-5
60257515	Humanistisk og teologisk, BACH (compound: 60257515)	Indianske sprog og kulturer, BACH	Native American languages and cultures, BACH	fable-5
70259515	Humanistisk og teologisk, LVU (compound: 70259515)	Æstetik og kultur, LVU	Aesthetics and culture, LVU	fable-5
70351715	Naturvidenskab, LVU (compound: 70351715)	Miljøbiologi, LVU	Environmental biology, LVU	fable-5
30553510	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30553510)	Beslagsmed	Farrier	reused-master
60805010	Jordbrug, natur og miljø, BACH (compound: 60805010)	Miljøkemi, BACH	Environmental chemistry, BACH	fable-5
70805010	Jordbrug, natur og miljø, LVU (compound: 70805010)	Miljøkemi, LVU	Environmental chemistry, LVU	fable-5
70253215	Humanistisk og teologisk, LVU (compound: 70253215)	Retorik, LVU	Rhetoric, LVU	fable-5
70302015	Kunstnerisk, LVU (compound: 70302015)	Kunstteori og -formidling, LVU	Art theory and dissemination, LVU	fable-5
60594015	Teknisk videnskab, BACH (compound: 60594015)	Energiteknologi i øvrigt, BACH	Other energy technology, BACH	fable-5
50203020	Pædagogisk, MVU (compound: 50203020)	Pædagogik, MVU	Pedagogy, MVU	fable-5
30554010	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30554010)	Støberitekniker	Foundry technician	reused-master
30556010	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30556010)	Skibstekniske uddannelser	Marine engineering programmes	fable-5
60353025	Naturvidenskab, BACH (compound: 60353025)	Fysiske fag i øvrigt, BACH	Other physical sciences, BACH	fable-5
60353510	Naturvidenskab, BACH (compound: 60353510)	Geodæsi og geoinformatik, BACH	Geodesy and geoinformatics, BACH	fable-5
60256515	Humanistisk og teologisk, BACH (compound: 60256515)	Nederlandsk, BACH	Dutch, BACH	fable-5
70253210	Humanistisk og teologisk, LVU (compound: 70253210)	Journalistik, LVU	Journalism, LVU	fable-5
30559015	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30559015)	Overfladebehandler	Surface treater	reused-master
30153510	Kontor, handel og forretningsservice (KHF) (compound: 30153510)	Kundekontaktcenteruddannelse	Customer contact centre programme	fable-5
60903010	Sundhedsvidenskab, BACH (compound: 60903010)	Folkesundhedsvidenskab, BACH	Public health science, BACH	fable-5
60251510	Humanistisk og teologisk, BACH (compound: 60251510)	Oldtidskundskab, BACH	Classical studies, BACH	fable-5
30101010	Omsorg, sundhed og pædagogik (OSP) (compound: 30101010)	Sundhed, omsorg og pædagogik uden nærmere angivelse	Health, care and pedagogy, not further specified	fable-5
60596020	Teknisk videnskab, BACH (compound: 60596020)	Medicin og teknologi, BACH	Medicine and technology, BACH	fable-5
40589530	Teknisk, KVU (compound: 40589530)	Teknisk i øvrigt, KVU	Other technical, KVU	fable-5
60394510	Samfundsvidenskab, BACH (compound: 60394510)	Sociologi, BACH	Sociology, BACH	fable-5
70352010	Naturvidenskab, LVU (compound: 70352010)	Biomedicin, LVU	Biomedicine, LVU	fable-5
70595510	Teknisk videnskab, LVU (compound: 70595510)	Miljøteknologi mv., LVU	Environmental technology etc., LVU	fable-5
30403010	Teknologiområdet, strøm og elektronik mv. (TBT) (compound: 30403010)	Elektronikoperatør	Electronics Operator	reused-master
60352010	Naturvidenskab, BACH (compound: 60352010)	Biomedicin, BACH	Biomedicine, BACH	fable-5
60353710	Naturvidenskab, BACH (compound: 60353710)	Geografi, BACH	Geography, BACH	fable-5
50303030	Kunstnerisk, MVU (compound: 50303030)	Fotograf, film og tv, MVU	Photographer, film and TV, MVU	fable-5
30601015	Teknik- og industriuddannelser i øvrigt (TBT) (compound: 30601015)	Porcelænsmaler	Porcelain Painter	reused-master
60306525	Kunstnerisk, BACH (compound: 60306525)	Sangskrivning, BACH	Songwriting, BACH	fable-5
70306530	Kunstnerisk, LVU (compound: 70306530)	Komponist og dirigent, LVU	Composer and conductor, LVU	fable-5
50894510	Sundhedsfaglig, MVU (compound: 50894510)	Bandagist, MVU	Orthopaedic technician (bandagist), MVU	fable-5
60591520	Teknisk videnskab, BACH (compound: 60591520)	Kemisk og biokemisk teknologi, BACH	Chemical and biochemical technology, BACH	fable-5
70256320	Humanistisk og teologisk, LVU (compound: 70256320)	Kinastudier, LVU	China studies, LVU	fable-5
30551515	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30551515)	Cnc-teknikuddannelsen	CNC technology programme	fable-5
50304010	Kunstnerisk, MVU (compound: 50304010)	Danseruddannelser, MVU	Dance programmes, MVU	fable-5
50301010	Kunstnerisk, MVU (compound: 50301010)	Kunstnerisk uden nærmere angivelse, MVU	Artistic, not further specified, MVU	fable-5
70256315	Humanistisk og teologisk, LVU (compound: 70256315)	Japanstudier, LVU	Japanese studies, LVU	fable-5
60302010	Kunstnerisk, BACH (compound: 60302010)	Bildende kunst, BACH	Visual arts, BACH	fable-5
30351010	Byggeriområdet (TBT) (compound: 30351010)	Bygge og anlæg uden nærmere angivelse	Building and construction, not further specified	fable-5
70356030	Naturvidenskab, LVU (compound: 70356030)	Interaktionsdesign, LVU	Interaction design, LVU	fable-5
60257520	Humanistisk og teologisk, BACH (compound: 60257520)	Indoeuropæisk, BACH	Indo-European, BACH	fable-5
70257525	Humanistisk og teologisk, LVU (compound: 70257525)	Ungarsk, LVU	Hungarian, LVU	fable-5
50259020	Humanistisk og teologisk, MVU (compound: 50259020)	Erhvervssprog, øvrige uddannelser, MVU	Business language, other programmes, MVU	fable-5
30552015	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30552015)	Produktør	Producer	reused-master
70257010	Humanistisk og teologisk, LVU (compound: 70257010)	Klassisk Indisk - sanskrit, LVU	Classical Indian - Sanskrit, LVU	fable-5
30403015	Teknologiområdet, strøm og elektronik mv. (TBT) (compound: 30403015)	Forsyningsoperatør	Supply Operator	reused-master
30651510	Transport og logistikområdet (TBT) (compound: 30651510)	Havne- og terminaluddannelser	Port and terminal programmes	fable-5
60254510	Humanistisk og teologisk, BACH (compound: 60254510)	Religion og religionsvidenskab, BACH	Religion and religious studies, BACH	fable-5
30553520	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30553520)	Metalsmed	Metalsmed	reused-master
70251225	Humanistisk og teologisk, LVU (compound: 70251225)	Arkæologi, nærorientalsk, LVU	Archaeology, Near Eastern, LVU	fable-5
60257510	Humanistisk og teologisk, BACH (compound: 60257510)	Finsk, BACH	Finnish, BACH	fable-5
70257510	Humanistisk og teologisk, LVU (compound: 70257510)	Finsk, LVU	Finnish, LVU	fable-5
50303045	Kunstnerisk, MVU (compound: 50303045)	Instruktør, film og tv, MVU	Director, film and TV, MVU	fable-5
60306520	Kunstnerisk, BACH (compound: 60306520)	Tonemester, musik, BACH	Sound engineer (tonemester), music, BACH	fable-5
50952530	Politi og forsvar mv., MVU (compound: 50952530)	Sprogofficer, MVU	Language officer, MVU	fable-5
50589515	Teknisk, MVU (compound: 50589515)	Teknisk offshore, MVU	Technical offshore, MVU	fable-5
70255515	Humanistisk og teologisk, LVU (compound: 70255515)	Arabisk, LVU	Arabic, LVU	fable-5
60804010	Jordbrug, natur og miljø, BACH (compound: 60804010)	Jordbrug, fødevarer og miljø kombineret, BACH	Agriculture, food and environment combined, BACH	fable-5
60599530	Teknisk videnskab, BACH (compound: 60599530)	Teknisk videnskab i øvrigt, BACH	Other engineering science, BACH	fable-5
70596010	Teknisk videnskab, LVU (compound: 70596010)	Sundhedsteknologi, LVU	Health technology, LVU	fable-5
60304510	Kunstnerisk, BACH (compound: 60304510)	Skuespiller, BACH	Actor, BACH	fable-5
70599520	Teknisk videnskab, LVU (compound: 70599520)	Teknologi, råstofudvinding, LVU	Technology, raw materials extraction, LVU	fable-5
60257110	Humanistisk og teologisk, BACH (compound: 60257110)	Oldtidssprog, BACH	Ancient languages, BACH	fable-5
40305510	Kunstnerisk, KVU (compound: 40305510)	Kunsthåndværk, KVU	Arts and crafts, KVU	fable-5
50258210	Humanistisk og teologisk, MVU (compound: 50258210)	Erhvervssprog, afgangseksamen EA, MVU	Business language, EA final examination, MVU	fable-5
50303020	Kunstnerisk, MVU (compound: 50303020)	Manuskriptuddannelse, film og tv, MVU	Screenwriting programme, film and TV, MVU	fable-5
60355510	Naturvidenskab, BACH (compound: 60355510)	Statistik, BACH	Statistics, BACH	fable-5
50303515	Kunstnerisk, MVU (compound: 50303515)	Sceneinstruktør, MVU	Stage director, MVU	fable-5
30558010	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30558010)	Ortopædist	Orthopedist	reused-master
50303040	Kunstnerisk, MVU (compound: 50303040)	Filmproducer, MVU	Film producer, MVU	fable-5
70351720	Naturvidenskab, LVU (compound: 70351720)	Parasitologi, LVU	Parasitology, LVU	fable-5
70257535	Humanistisk og teologisk, LVU (compound: 70257535)	Tolk i fremmedsprog, LVU	Interpreter in foreign languages, LVU	fable-5
50303520	Kunstnerisk, MVU (compound: 50303520)	Scenograf, MVU	Scenographer, MVU	fable-5
30404015	Teknologiområdet, strøm og elektronik mv. (TBT) (compound: 30404015)	Frontline radio-tv-supporter	Frontline Radio-TV Supporter	reused-master
70257520	Humanistisk og teologisk, LVU (compound: 70257520)	Indoeuropæisk, LVU	Indo-European, LVU	fable-5
60253015	Humanistisk og teologisk, BACH (compound: 60253015)	Kultur og sprogmøde, BACH	Culture and language encounters, BACH	fable-5
70903510	Sundhedsvidenskab, LVU (compound: 70903510)	It og sundhedsvidenskab, LVU	IT and health science, LVU	fable-5
30501530	Teknologiområdet, cykel-, auto- og skibsmekanik mv. (TBT) (compound: 30501530)	Bådmekaniker	Boat Mechanic	reused-master
50303050	Kunstnerisk, MVU (compound: 50303050)	Tv studieproducer og tv-tilrettelægger, MVU	TV studio producer and TV production planner, MVU	fable-5
30155010	Kontor, handel og forretningsservice (KHF) (compound: 30155010)	Ejendoms- og anden service uden nærmere angivelse	Property and other services, not further specified	fable-5
70251230	Humanistisk og teologisk, LVU (compound: 70251230)	Marinarkæologi, LVU	Maritime archaeology, LVU	fable-5
70599510	Teknisk videnskab, LVU (compound: 70599510)	Teknisk, beredskab og risikostyring, LVU	Technical, emergency preparedness and risk management, LVU	fable-5
60303515	Kunstnerisk, BACH (compound: 60303515)	Sceneinstruktør, BACH	Stage director, BACH	fable-5
60355010	Naturvidenskab, BACH (compound: 60355010)	Matematik, BACH	Mathematics, BACH	fable-5
70306020	Kunstnerisk, LVU (compound: 70306020)	Konservering - restaurering, kulturhistorisk, LVU	Conservation-restoration, cultural history, LVU	fable-5
60256215	Humanistisk og teologisk, BACH (compound: 60256215)	Indonesisk, BACH	Indonesian, BACH	fable-5
60752515	Fødevarer, Bio- og laboratorieteknik, BACH (compound: 60752515)	Mejeribrugsvidenskab, BACH	Dairy science, BACH	fable-5
60593510	Teknisk videnskab, BACH (compound: 60593510)	Elektronik i øvrigt, BACH	Other electronics, BACH	fable-5
30252520	Jordbrug og natur (FJO) (compound: 30252520)	Skovbrug, efteruddannelse	Forestry, continuing education	fable-5
30355530	Byggeriområdet (TBT) (compound: 30355530)	Stukkatør	Plasterer	reused-master
70306520	Kunstnerisk, LVU (compound: 70306520)	Tonemester, musik, LVU	Sound engineer (tonemester), music, LVU	fable-5
60392515	Samfundsvidenskab, BACH (compound: 60392515)	EU-studier og europæiske studier, BACH	EU studies and European studies, BACH	fable-5
70306025	Kunstnerisk, LVU (compound: 70306025)	Konservering - restaurering, kunst, LVU	Conservation-restoration, art, LVU	fable-5
70392515	Samfundsvidenskab, LVU (compound: 70392515)	EU-studier og europæiske studier, LVU	EU studies and European studies, LVU	fable-5
40801010	Jordbrug, natur og miljø, KVU (compound: 40801010)	Jordbrug, natur og miljø uden nærmere angivelse, KVU	Agriculture, nature and environment, not further specified, KVU	fable-5
60356030	Naturvidenskab, BACH (compound: 60356030)	Interaktionsdesign, BACH	Interaction design, BACH	fable-5
70252515	Humanistisk og teologisk, LVU (compound: 70252515)	Videnskabshistorie, LVU	History of science, LVU	fable-5
50303035	Kunstnerisk, MVU (compound: 50303035)	Tonemester, film og tv, MVU	Sound engineer (tonemester), film and TV, MVU	fable-5
70306015	Kunstnerisk, LVU (compound: 70306015)	Konservering - restaurering, grafisk, LVU	Conservation-restoration, graphic, LVU	fable-5
70356035	Naturvidenskab, LVU (compound: 70356035)	Medialogi, LVU	Medialogy, LVU	fable-5
30404010	Teknologiområdet, strøm og elektronik mv. (TBT) (compound: 30404010)	Frontline pc-supporter	Frontline PC supporter	fable-5
80306555	Kunstnerisk, Ph.d. (compound: 80306555)	Musikuddannelser i øvrigt, Ph.d.	Other music programmes, Ph.d.	fable-5
60392010	Samfundsvidenskab, BACH (compound: 60392010)	Antropologi, BACH	Anthropology, BACH	fable-5
50381010	Samfundsfaglig, Økonomisk-Merkantil, MVU (compound: 50381010)	Samfundsfaglig, Økonomisk-Merkantil uden nærmere angivelse, MVU	Social science, economic-mercantile, not further specified, MVU	fable-5
60394010	Samfundsvidenskab, BACH (compound: 60394010)	Psykologi, BACH	Psychology, BACH	fable-5
70257110	Humanistisk og teologisk, LVU (compound: 70257110)	Oldtidssprog, LVU	Ancient languages, LVU	fable-5
30401010	Teknologiområdet, strøm og elektronik mv. (TBT) (compound: 30401010)	Strøm og elektronik uden nærmere angivelse	Electricity and electronics, not further specified	fable-5
70304010	Kunstnerisk, LVU (compound: 70304010)	Danseruddannelser, LVU	Dance programmes, LVU	fable-5
70352510	Naturvidenskab, LVU (compound: 70352510)	Nanoscience og nanobioscience, LVU	Nanoscience and nanobioscience, LVU	fable-5
30254010	Jordbrug og natur (FJO) (compound: 30254010)	Jordbrug og natur i øvrigt	Other agriculture and nature	fable-5
60592515	Teknisk videnskab, BACH (compound: 60592515)	Byudvikling og byplanlægning mv., BACH	Urban development and town planning etc., BACH	fable-5
70256515	Humanistisk og teologisk, LVU (compound: 70256515)	Nederlandsk, LVU	Dutch, LVU	fable-5
20303010	Internationale gymnasiale uddannelser (compound: 20303010)	Dansk-Tysk studentereksamen	Danish-German upper secondary leaving examination	fable-5
60256330	Humanistisk og teologisk, BACH (compound: 60256330)	Tibetologi, BACH	Tibetology, BACH	fable-5
30451010	Teknologiområdet, grafisk teknik og medieproduktion (TBT) (compound: 30451010)	Grafisk teknik og medieproduktion uden nærmere angivelse	Graphic technology and media production, not further specified	fable-5
70307010	Kunstnerisk, LVU (compound: 70307010)	Scenekunst, LVU	Performing arts, LVU	fable-5
70255520	Humanistisk og teologisk, LVU (compound: 70255520)	Hebraisk, LVU	Hebrew, LVU	fable-5
20304010	Internationale gymnasiale uddannelser (compound: 20304010)	Dansk-Fransk Bacalaurétte	Danish-French Baccalauréat	fable-5
70255725	Humanistisk og teologisk, LVU (compound: 70255725)	Rumænsk, LVU	Romanian, LVU	fable-5
60395010	Samfundsvidenskab, BACH (compound: 60395010)	Økonomi, BACH	Economics, BACH	fable-5
60255530	Humanistisk og teologisk, BACH (compound: 60255530)	Tyrkisk, BACH	Turkish, BACH	fable-5
60393010	Samfundsvidenskab, BACH (compound: 60393010)	Jura, BACH	Law, BACH	fable-5
70256210	Humanistisk og teologisk, LVU (compound: 70256210)	Indien og Sydasienstudier, LVU	India and South Asia studies, LVU	fable-5
60255520	Humanistisk og teologisk, BACH (compound: 60255520)	Hebraisk, BACH	Hebrew, BACH	fable-5
60303510	Kunstnerisk, BACH (compound: 60303510)	Teaterteknik, BACH	Theatre technology, BACH	fable-5
50585015	Teknisk, MVU (compound: 50585015)	Teknisk, tekstil- og beklædning, MVU	Technical, textiles and clothing, MVU	fable-5
80306530	Kunstnerisk, Ph.d. (compound: 80306530)	Komponist og dirigent, Ph.d.	Composer and conductor, Ph.d.	fable-5
60306530	Kunstnerisk, BACH (compound: 60306530)	Komponist og dirigent, BACH	Composer and conductor, BACH	fable-5
60257525	Humanistisk og teologisk, BACH (compound: 60257525)	Ungarsk, BACH	Hungarian, BACH	fable-5
70355510	Naturvidenskab, LVU (compound: 70355510)	Statistik, LVU	Statistics, LVU	fable-5
70256215	Humanistisk og teologisk, LVU (compound: 70256215)	Indonesisk, LVU	Indonesian, LVU	fable-5
60354710	Naturvidenskab, BACH (compound: 60354710)	Kemi, BACH	Chemistry, BACH	fable-5
30902010	Andre erhvervsfaglige uddannelser (compound: 30902010)	Forsvaret	The Danish Defence	fable-5
60304010	Kunstnerisk, BACH (compound: 60304010)	Dans, BACH	Dance, BACH	fable-5
60255725	Humanistisk og teologisk, BACH (compound: 60255725)	Rumænsk, BACH	Romanian, BACH	fable-5
30601025	Teknik- og industriuddannelser i øvrigt (TBT) (compound: 30601025)	Teknik- og industriuddannelser i øvrigt	Other technical and industrial programmes	fable-5
60354510	Naturvidenskab, BACH (compound: 60354510)	Idræt, BACH	Sports science, BACH	fable-5
70256220	Humanistisk og teologisk, LVU (compound: 70256220)	Thai, LVU	Thai, LVU	fable-5
60256520	Humanistisk og teologisk, BACH (compound: 60256520)	Tysk, BACH	German, BACH	fable-5
70306030	Kunstnerisk, LVU (compound: 70306030)	Konservering - restaurering, monumental, LVU	Conservation-restoration, monumental, LVU	fable-5
70255530	Humanistisk og teologisk, LVU (compound: 70255530)	Tyrkisk, LVU	Turkish, LVU	fable-5
70256330	Humanistisk og teologisk, LVU (compound: 70256330)	Tibetologi, LVU	Tibetology, LVU	fable-5
70359510	Naturvidenskab, LVU (compound: 70359510)	Bioinformatik, LVU	Bioinformatics, LVU	fable-5
20306010	Internationale gymnasiale uddannelser (compound: 20306010)	European Baccalaureate	European Baccalaureate	fable-5
10201012	Grundskole 7.-9. klasse (compound: 10201012)	9. klasse	9th grade [completed qualification]	reused-master
90992010	Uoplyst mv. (compound: 90992010)	Afbrudt	Discontinued	reused-master
30911111	Grundforløb (compound: 30911111)	Grundforløb	Foundation course	reused-master
10201011	Grundskole 7.-9. klasse (compound: 10201011)	8.klasse	8th grade	fable-5
20102011	Alment gymnasiale uddannelser (compound: 20102011)	HF 2-årig, 1. år	HF two-year, 1st year	fable-5
20203012	Erhvervsrettede gymnasiale uddannelser (compound: 20203012)	Hhx 3-årig, 2. år	HHX three-year, 2nd year	fable-5
20203013	Erhvervsrettede gymnasiale uddannelser (compound: 20203013)	Hhx 3-årig, 3. år	HHX three-year, 3rd year	fable-5
20101011	Alment gymnasiale uddannelser (compound: 20101011)	Gymnasiet uden linieopdeling, 1.g.	Gymnasium (general upper secondary) without streaming, year 1	fable-5
20101012	Alment gymnasiale uddannelser (compound: 20101012)	Gymnasiet uden linieopdeling, 2.g.	Gymnasium (general upper secondary) without streaming, year 2	fable-5
20101013	Alment gymnasiale uddannelser (compound: 20101013)	Gymnasiet uden linieopdeling, 3.g.	Gymnasium (general upper secondary) without streaming, year 3	fable-5
20101021	Alment gymnasiale uddannelser (compound: 20101021)	Matematisk gymnasium, 1.g.	Mathematics-stream gymnasium, year 1	fable-5
20101022	Alment gymnasiale uddannelser (compound: 20101022)	Matematisk gymnasium, 2.g.	Mathematics-stream gymnasium, year 2	fable-5
20101023	Alment gymnasiale uddannelser (compound: 20101023)	Matematisk gymnasium, 3.g.	Mathematics-stream gymnasium, year 3	fable-5
90994010	Uoplyst mv. (compound: 90994010)	Igang	In progress	reused-master
20101031	Alment gymnasiale uddannelser (compound: 20101031)	Sproglig gymnasium 1.g.	Language-stream gymnasium, year 1	fable-5
20101032	Alment gymnasiale uddannelser (compound: 20101032)	Sproglig gymnasium 2.g.	Language-stream gymnasium, year 2	fable-5
20101033	Alment gymnasiale uddannelser (compound: 20101033)	Sproglig gymnasium 3.g.	Language-stream gymnasium, year 3	fable-5
20102012	Alment gymnasiale uddannelser (compound: 20102012)	HF 2-årig, 2. år	HF two-year, 2nd year	fable-5
30251528	Jordbrug og natur (FJO) (compound: 30251528)	Havecentergartner	Garden-centre gardener [completed qualification]	reused-master
20204011	Erhvervsrettede gymnasiale uddannelser (compound: 20204011)	Htx, 1. år	HTX, 1st year	fable-5
20204012	Erhvervsrettede gymnasiale uddannelser (compound: 20204012)	Htx, 2. år	HTX, 2nd year	fable-5
20204013	Erhvervsrettede gymnasiale uddannelser (compound: 20204013)	Htx, 3. år	HTX, 3rd year	fable-5
70305015	Kunstnerisk, LVU (compound: 70305015)	Designer, digitale medier, kommunikation, LVU	Designer, digital media, communication, LVU	fable-5
